Glottocode	Verb_final	Free_word_order	Nominal_case	Family_ID
abun1252	0	0	0	NA
area1240	0	1	1	aust1307
axam1237	0	0	0	aust1307
cash1251	1	1	1	pano1259
chuk1273	1	1	1	chuk1271
ersu1241	1	1	1	sino1245
esto1258	0	0	1	ural1272
finn1318	0	0	1	ural1272
gahr1239	1	1	1	sino1245
ingr1248	0	0	1	ural1272
kemb1249	0	0	0	aust1307
lena1238	0	0	0	aust1307
livv1243	0	0	1	ural1272
lule1254	0	1	1	ural1272
mand1415	0	1	0	sino1245
mode1248	0	1	1	indo1319
moks1248	0	1	1	ural1272
motl1237	0	0	0	aust1307
nana1257	1	1	1	tung1282
nenn1238	1	1	1	more1255
noct1238	1	1	0	sino1245
nucl1301	1	0	1	turk1311
panj1256	1	1	1	indo1319
pite1240	0	1	1	ural1272
poli1260	0	1	1	indo1319
seme1247	0	1	1	aust1305
sout2674	1	1	1	ural1272
stan1290	0	0	0	indo1319
stan1293	0	0	0	indo1319
supy1237	1	0	0	atla1278
tami1289	1	1	1	drav1251
tojo1241	0	0	0	maya1287
kare1335	0	0	1	ural1272
west2519	0	1	0	aust1307
west2418	1	1	1	sino1245
wutu1241	1	1	0	sino1245
agob1244	1	1	1	paho1240
apma1240	0	0	0	aust1307
arak1252	0	0	0	aust1307
aton1241	1	1	1	sino1245
cent2127	0	1	1	eski1264
cosa1234	1	1	0	sino1245
faro1244	0	0	1	indo1319
kaya1315	0	0	0	sino1245
kxoe1243	0	1	0	khoe1240
lezg1247	1	1	1	nakh1245
mana1298	1	1	1	nduu1242
matu1261	1	1	0	aust1307
maun1240	0	1	0	iwai1246
ngan1291	1	1	1	ural1272
nort2747	0	0	0	hmon1336
nort2942	1	0	0	atha1245
nucl1622	1	1	0	anim1240
pahn1237	0	1	0	hmon1336
pela1242	1	1	0	sino1245
sout2959	1	0	0	atha1245
tibe1272	1	1	1	sino1245
udih1248	1	1	1	tung1282
vure1239	0	0	0	aust1307
yami1254	0	1	1	aust1307
arao1248	1	1	1	pano1259
ashe1272	0	1	0	araw1281
baim1244	1	1	0	sino1245
balu1257	0	0	0	aust1307
bola1250	0	0	0	aust1307
chip1261	1	0	0	atha1245
chuv1255	1	0	1	turk1311
dzao1238	0	1	0	hmon1336
emai1241	0	0	0	atla1278
enuu1235	1	0	0	sino1245
fore1265	1	0	1	ural1272
gayo1244	0	1	0	aust1307
geba1237	0	0	0	sino1245
halk1245	0	1	0	sali1255
hoaa1235	0	0	0	kxaa1236
ital1282	0	0	0	indo1319
kenu1236	1	1	1	nubi1251
sout2728	1	1	1	sino1245
mila1245	1	1	1	sino1245
nort2690	1	0	1	turk1311
nucl1643	1	1	1	japo1237
oriy1255	1	1	1	indo1319
rapa1245	0	1	0	aust1307
russ1263	0	1	1	indo1319
samo1305	0	1	0	aust1307
stan1289	0	0	0	indo1319
thak1245	1	1	1	sino1245
toab1237	0	0	0	aust1307
tsix1234	1	1	1	khoe1240
sout2679	0	0	1	ural1272
wola1242	1	0	1	gong1255
youn1235	0	1	0	hmon1336
zaye1235	0	0	0	sino1245
achi1257	0	0	0	aust1307
aheu1239	0	1	0	aust1305
alab1254	1	1	1	afro1255
aleu1260	1	0	1	eski1264
crow1244	1	1	0	siou1252
lisu1250	1	1	0	sino1245
futu1245	0	0	0	aust1307
gali1258	0	0	0	indo1319
imba1240	1	1	1	quec1387
isco1239	0	1	1	pano1259
kumb1268	1	0	1	pama1250
lipo1242	1	1	0	sino1245
ludi1246	0	0	1	ural1272
mala1464	1	1	1	drav1251
mang1381	0	1	1	mang1423
meke1243	1	1	0	aust1307
miju1243	1	1	0	sino1245
mwag1236	0	0	0	afro1255
njan1240	0	0	0	atla1278
nyah1250	0	1	0	aust1305
port1283	0	0	0	indo1319
saar1237	0	0	0	aust1307
seim1238	0	0	0	aust1307
shos1248	1	0	1	utoa1244
sina1266	1	1	0	aust1307
sing1264	1	1	1	sino1245
skol1241	1	1	1	ural1272
slov1268	0	1	1	indo1319
tika1246	0	0	0	atla1278
tuwa1243	0	0	0	aust1307
unua1237	0	0	0	aust1307
wara1294	1	1	1	more1255
wuch1236	0	1	0	sino1245
wusa1235	1	0	0	sino1245
yoga1237	0	0	0	aust1307
youl1235	1	1	0	sino1245
acha1249	1	1	0	sino1245
bell1243	0	0	0	sali1255
biao1254	0	1	0	hmon1336
buga1250	0	0	0	aust1307
buwa1243	0	0	0	afro1255
cube1242	0	1	1	tuca1253
czec1258	0	1	1	indo1319
daas1238	1	1	1	afro1255
guan1266	1	1	1	sino1245
gunw1252	0	1	0	gunw1250
hual1241	1	1	1	quec1387
iatm1242	1	0	1	nduu1242
kamm1249	0	0	0	atla1278
koro1298	0	0	0	atla1278
kwai1243	0	0	0	aust1307
lith1251	0	1	1	indo1319
mana1288	1	1	1	sino1245
maor1246	0	0	0	aust1307
maru1249	1	1	0	sino1245
nese1235	0	0	1	aust1307
nort2684	0	1	0	aust1305
nort2745	1	1	1	yuka1259
nucl1302	0	1	1	kart1248
nucl1305	1	1	1	drav1251
kuma1276	0	1	0	aust1307
ruka1240	0	1	0	aust1307
sout2956	1	1	0	haid1248
tuwu1238	0	0	0	atla1278
vera1241	0	0	0	aust1307
woii1237	0	0	0	aust1307
anuu1241	0	0	0	sino1245
bafu1246	0	0	0	atla1278
bela1254	0	1	1	indo1319
buga1247	0	0	0	aust1305
cahu1264	1	0	1	utoa1244
cent1992	0	0	1	aust1305
choc1276	1	0	1	musk1252
digo1243	0	1	0	atla1278
east2773	1	0	1	sino1245
erzy1239	0	0	1	ural1272
east2328	1	0	1	ural1272
gyel1242	0	0	0	atla1278
hadz1240	0	1	0	NA
koko1269	0	1	0	aust1307
kunb1251	0	1	0	gunw1250
lomb1257	0	1	0	indo1319
mapu1245	0	1	0	arau1255
mara1378	1	1	1	indo1319
mund1325	0	0	1	atla1278
nene1249	1	1	1	ural1272
nort2732	1	0	0	sino1245
nucl1310	1	0	1	sino1245
miya1259	1	1	1	japo1237
onon1246	0	1	0	iroq1247
otta1242	0	1	0	algi1248
even1259	1	1	1	tung1282
selk1253	1	1	1	ural1272
stan1306	0	0	0	aust1307
tern1247	0	0	0	nort2923
toba1268	0	1	0	leng1261
west2396	0	0	0	aust1305
yaku1245	1	0	1	turk1311
biao1256	0	1	0	hmon1336
bret1244	0	1	0	indo1319
dege1246	0	0	0	atla1278
dhao1237	0	1	0	aust1307
east2342	0	0	0	sino1245
esee1248	1	1	1	pano1259
fonn1241	0	1	0	atla1278
hadi1240	1	0	1	afro1255
hung1274	1	1	1	ural1272
iris1253	0	1	0	indo1319
hela1238	1	0	1	sino1245
lewo1244	0	1	0	aust1307
malo1243	0	0	1	aust1307
mual1241	0	1	0	aust1307
nort2885	0	1	1	aust1307
nort2961	0	1	0	algi1248
puri1258	1	1	1	sino1245
shab1252	1	1	1	NA
sich1238	1	0	0	sino1245
wall1257	0	1	0	aust1307
wamb1257	1	1	1	sino1245
west2516	0	0	0	aust1307
xamt1239	1	0	1	afro1255
xara1244	0	0	0	aust1307
yuca1254	0	0	0	maya1287
zarm1239	0	1	0	song1307
abkh1244	0	0	0	abkh1242
afar1241	1	1	1	afro1255
arap1274	0	1	0	algi1248
basq1248	1	1	1	NA
chak1270	1	0	1	sino1245
cham1312	0	1	0	aust1307
coca1259	0	0	0	tupi1275
gaga1249	0	1	1	turk1311
gheg1238	0	0	1	indo1319
iban1264	0	0	0	aust1307
itza1241	0	0	0	maya1287
kach1284	1	0	1	gong1255
kesa1244	1	1	1	nucl1709
kile1243	1	0	1	tung1282
kimm1245	0	1	0	hmon1336
kinn1249	1	0	1	sino1245
kosr1238	0	0	0	aust1307
lash1243	1	0	0	sino1245
maee1241	0	0	0	aust1307
male1297	1	0	0	chib1249
masa1322	0	0	0	afro1255
ngal1292	1	1	1	gunw1250
niva1238	0	0	0	mata1289
noon1242	0	0	0	atla1278
nort2697	1	0	1	turk1311
nucl1235	0	1	1	indo1319
nucl1417	0	0	0	atla1278
paco1243	0	1	0	aust1305
papa1265	0	1	0	aust1307
popt1235	0	0	0	maya1287
sais1237	0	1	1	aust1307
tahi1242	0	0	0	aust1307
tiri1258	0	1	1	aust1307
trio1238	0	0	0	cari1283
urip1239	0	1	0	aust1307
veps1250	0	1	1	ural1272
wand1278	0	1	0	afro1255
wawa1246	0	0	0	atla1278
west2594	1	1	1	nucl1709
yaul1241	1	0	0	kera1258
aoua1234	0	0	0	taik1256
bisu1244	1	0	0	sino1245
burj1242	1	0	1	afro1255
cent2314	0	0	0	aust1305
daka1243	0	0	0	aust1307
dima1251	1	1	1	sino1245
dutc1256	0	0	0	indo1319
east2447	0	1	0	aust1307
fiji1243	0	1	0	aust1307
haaa1252	0	1	0	atla1278
here1253	0	0	0	atla1278
hind1269	1	0	1	indo1319
juku1254	0	0	1	atla1278
keoo1238	0	0	0	aust1307
khan1278	0	0	0	atla1278
kili1267	0	0	0	aust1307
lala1268	1	0	0	aust1307
lumu1239	0	0	0	narr1279
mace1250	0	1	1	indo1319
miya1266	1	0	0	afro1255
mpad1242	0	0	0	afro1255
nort2722	1	0	1	sino1245
occi1239	0	0	0	indo1319
patp1243	0	0	0	aust1307
saka1289	0	0	0	aust1307
soch1239	0	1	0	otom1299
sout1528	0	0	1	indo1319
taul1251	0	1	0	taul1250
bumt1240	1	1	1	sino1245
west2354	0	0	0	indo1319
yaki1237	0	1	0	saha1239
dusn1237	0	0	0	aust1307
fili1244	0	0	0	aust1307
hani1248	1	0	0	sino1245
high1276	0	0	0	mixe1284
kagu1239	0	0	0	atla1278
kats1235	1	1	0	sino1245
komi1268	0	1	1	ural1272
kwar1239	0	0	0	aust1307
lolo1259	1	1	0	sino1245
mudu1242	0	0	0	aust1307
munc1235	1	0	0	sino1245
paas1238	0	0	0	atla1278
sela1259	0	0	0	aust1307
sout2729	1	0	0	sino1245
sout2994	1	0	1	namb1299
sout2996	1	1	1	ayma1253
surg1248	1	0	0	ural1272
tama1365	0	0	1	afro1255
tief1244	0	0	0	atla1278
waim1251	1	1	0	aust1307
akoo1248	0	0	0	atla1278
aona1235	1	1	1	sino1245
assi1247	1	0	0	siou1252
bulo1242	0	1	0	aust1305
cent2322	1	0	1	ural1272
minn1241	0	0	0	sino1245
cree1270	1	0	1	musk1252
dhim1246	1	0	0	sino1245
halh1238	1	0	1	mong1349
idii1243	1	1	1	paho1240
japh1234	1	1	0	sino1245
kore1280	1	1	1	kore1284
litz1237	0	0	0	aust1307
loni1238	0	0	0	aust1307
luok1236	0	1	0	nilo1247
madi1260	0	0	0	cent2225
mail1248	0	0	0	mail1249
mezq1235	0	1	0	otom1299
mina1276	0	0	0	afro1255
moba1244	0	0	0	atla1278
mpur1239	0	0	0	NA
nava1243	1	0	0	atha1245
nyan1307	0	1	0	atla1278
para1301	0	0	0	aust1305
pend1242	0	1	1	aust1307
rong1264	1	0	1	sino1245
savo1255	1	0	1	NA
situ1238	1	1	0	sino1245
tson1249	0	0	0	atla1278
urim1252	0	1	0	nucl1708
wara1303	0	0	0	NA
west2466	1	0	0	atla1278
yatz1235	0	1	0	otom1299
yawu1244	0	1	1	nyul1248
adan1251	1	1	0	timo1261
argo1244	1	0	1	afro1255
arta1239	0	1	1	aust1307
bebe1248	0	1	0	atla1278
boro1282	1	1	0	boro1281
bush1247	0	0	0	atla1278
carn1240	0	0	0	aust1305
cher1273	0	1	0	iroq1247
chug1252	1	1	1	sino1245
djam1255	0	1	1	mirn1241
eipo1242	1	1	0	nucl1709
gang1266	1	0	1	sino1245
icel1247	0	1	1	indo1319
irar1238	0	0	0	aust1307
kado1242	1	0	0	sino1245
kaik1246	1	1	1	sino1245
kash1277	0	1	1	indo1319
kham1282	1	0	1	sino1245
kuku1273	1	1	1	pama1250
kyer1238	1	1	1	sino1245
latv1249	0	1	1	indo1319
marg1265	0	0	0	afro1255
mart1255	0	0	1	pama1250
mund1328	0	0	0	atla1278
nort2954	1	0	1	utoa1244
oksa1245	1	1	1	nucl1709
pala1344	0	0	0	aust1307
pile1238	0	0	0	aust1307
quer1236	0	0	0	otom1299
ruch1235	0	0	0	aust1305
sand1278	0	0	0	huav1256
sanm1295	0	1	0	otom1299
hopi1249	1	0	1	utoa1244
sout2807	0	0	0	atla1278
taji1246	0	1	0	aust1307
thad1238	1	1	1	sino1245
toho1245	0	1	0	utoa1244
toor1238	0	0	0	atla1278
tutu1241	0	0	0	aust1307
utes1238	1	1	1	utoa1244
wari1268	0	0	0	chap1271
achu1248	1	1	1	jiva1245
alag1248	1	0	0	afro1255
bemb1257	0	0	1	atla1278
bugi1244	0	1	0	aust1307
caom1238	0	0	0	taik1256
chil1280	1	1	0	atha1245
daai1236	1	0	1	sino1245
gamo1243	1	0	1	gong1255
gily1242	1	0	1	nivk1234
hano1246	0	0	0	aust1307
kaqc1270	0	0	0	maya1287
katb1237	0	0	0	aust1307
kett1243	1	0	0	yeni1252
mbul1263	0	0	0	aust1307
mere1242	0	0	0	aust1307
naue1237	0	0	0	aust1307
nukn1238	0	1	1	nucl1709
paaa1242	0	0	0	afro1255
pila1245	0	1	0	guai1249
pnar1238	0	0	0	aust1305
tsat1238	0	0	0	aust1307
umes1235	1	1	1	ural1272
wayu1241	1	1	1	sino1245
west2369	1	0	1	indo1319
zagh1240	1	0	0	saha1256
athp1241	1	1	1	sino1245
biha1246	0	1	0	aust1307
byan1241	1	0	1	sino1245
coma1245	1	0	1	utoa1244
dani1285	0	1	0	indo1319
djee1236	0	1	0	mani1293
drun1238	1	1	1	sino1245
east2443	0	0	0	aust1307
east2555	1	1	0	tupi1275
furr1244	1	0	1	fura1235
hula1244	1	1	0	afro1255
irul1243	1	1	1	drav1251
kala1399	1	1	1	eski1264
koda1255	1	1	1	drav1251
koho1244	0	0	0	aust1305
komb1274	1	0	0	nucl1709
lama1277	0	0	0	aust1307
lush1249	1	1	1	sino1245
lush1252	0	0	0	sali1255
male1284	1	1	1	gong1255
maza1304	0	0	0	afro1255
mlab1235	0	1	0	aust1305
muru1274	1	1	1	huit1251
namb1293	1	1	1	more1255
nawu1242	0	0	0	atla1278
niua1240	0	0	0	aust1307
pohn1238	0	0	0	aust1307
pure1242	1	0	1	tara1323
quio1240	0	1	0	otom1299
ruma1248	0	1	0	aust1305
shil1265	0	0	0	nilo1247
shix1238	1	0	1	sino1245
shon1251	0	0	0	atla1278
swed1254	0	0	0	indo1319
tehu1242	0	1	0	chon1288
woli1241	0	1	0	aust1307
yami1256	1	1	1	pano1259
yems1235	1	0	1	gong1255
apin1244	1	0	0	nucl1710
bant1281	1	1	1	sino1245
camp1261	0	1	0	indo1319
gela1263	0	1	0	aust1307
guru1271	0	0	0	afro1255
hawa1245	0	0	0	aust1307
huar1255	0	0	0	utoa1244
jamb1236	0	1	0	aust1307
komi1269	0	1	1	ural1272
lavu1241	1	0	0	NA
maxa1247	1	1	1	nucl1710
mokl1243	0	1	0	aust1307
ngar1284	0	1	0	worr1236
nhen1239	0	1	0	tupi1275
okan1243	0	1	0	sali1255
orok1267	1	0	0	nucl1580
sauk1252	1	0	1	nucl1709
sema1265	0	1	0	aust1305
seri1257	1	0	0	NA
soga1242	0	1	0	atla1278
sons1242	0	1	0	aust1307
turk1304	1	0	1	turk1311
west2430	0	0	0	hmon1336
yaum1237	1	1	1	nucl1709
abar1238	0	0	0	atla1278
anei1239	0	0	1	aust1307
anga1288	1	0	1	sino1245
buru1320	0	1	0	afro1255
cemu1238	0	0	0	aust1307
chuw1238	0	1	0	atla1278
daza1242	1	0	1	saha1256
desa1247	1	1	1	tuca1253
fuyu1242	1	0	0	goil1242
gube1234	0	0	0	atla1278
huam1247	1	1	1	jiva1245
kank1243	0	0	1	aust1307
kich1262	0	0	0	maya1287
konk1267	1	1	1	indo1319
kove1237	0	0	0	aust1307
lave1248	0	0	0	aust1305
mait1250	1	0	0	indo1319
mokp1239	0	1	0	atla1278
ndam1239	0	1	0	atla1278
ngit1239	0	1	0	cent2225
nyal1254	0	0	0	aust1307
nyor1246	0	0	0	atla1278
olut1240	0	0	0	mixe1284
sout2857	0	0	0	aust1307
teke1275	0	1	0	atla1278
tosk1239	0	1	1	indo1319
wiru1244	1	1	1	NA
wotu1240	0	1	0	aust1307
acol1236	0	0	0	nilo1247
auye1238	1	1	1	nucl1709
beka1241	0	1	0	aust1307
boun1243	0	1	0	atla1278
bujh1238	1	0	1	sino1245
cors1241	0	1	0	indo1319
crim1257	1	0	1	turk1311
culi1244	1	0	0	araw1282
dana1252	0	0	0	aust1305
darm1243	1	0	0	sino1245
domm1246	1	1	0	nucl1709
east2516	1	1	1	nucl1709
galo1242	1	1	1	sino1245
guah1255	1	0	1	guah1252
guer1243	0	0	0	otom1299
huic1243	1	0	0	utoa1244
idun1242	1	1	0	aust1307
mamm1241	0	0	0	maya1287
mikm1235	0	1	1	algi1248
mose1249	0	1	0	NA
newa1246	1	0	1	sino1245
nopa1235	0	1	1	otom1299
nort2938	1	0	0	haid1248
